Course_Title,Student_Name,Student_Email,Purchase_Amount,Purchase_Date
"Dolorem Maxime Iure","Rhiannon Woods",juckigor@nakiuha.com,17943,"2022-07-24 00:30:13"
"Dolorem Maxime Iure","Gail Stubbs",private17@fuadd.me,31248,"2022-07-24 00:30:13"
"Dolorem Maxime Iure","Rhiannon Woods",juckigor@nakiuha.com,2556,"2022-07-24 00:30:13"
"Dolorem Maxime Iure","Kallum Hope",juckigor@nakiuha.com,25211,"2022-07-24 00:30:13"
"Dolorem Maxime Iure","Kallum Hope",pstar419@igtook.org,19445,"2022-07-24 00:30:13"
"Dolorem Maxime Iure","Kallum Hope",juckigor@nakiuha.com,10781,"2022-07-24 00:30:13"
Adipisicing,"Vanesa Cousins",kennyson@uhpanel.com,32789,"2022-07-24 00:30:13"
Adipisicing,"Vanesa Cousins",kennyson@uhpanel.com,41356,"2022-07-24 00:30:13"
Adipisicing,"Rhiannon Woods",haze123@cardkurd.com,13683,"2022-07-24 00:30:13"
Adipisicing,"Kallum Hope",juckigor@nakiuha.com,24840,"2022-07-24 00:30:13"
